celltype,marker
spermatocyte,gene_7704
cyst,gene_10304
cyst,gene_2922
cyst,gene_2922
cyst,PB.4628
epithelial,PB.4628
muscle_cell,gene_5829
muscle_cell,gene_2632
muscle_cell,gene_3904
epithelial,gene_4088
cyst,g10689
cyst,g10689
muscle_cell,gene_1368
muscle_cell,gene_1369
cyst,gene_10403
cyst,gene_5405
hemocyte,gene_7500
cyst,STRG.1267
cyst,STRG.1267
cyst,PB.7546
cyst,PB.7546
cyst,PB.7546
hemocyte,gene_10422
muscle_cell,gene_5255
muscle_cell,gene_3906
muscle_cell,gene_692
epithelial,gene_5255
epithelial,gene_3906
epithelial,gene_692
accessory_gland,gene_5255
accessory_gland,gene_3906
accessory_gland,gene_692
cyst,gene_9191
cyst,gene_9879
cyst,gene_9191
cyst,gene_9879
cyst,g2147
cyst,g2147
muscle_cell,gene_10286
muscle_cell,gene_5202
muscle_cell,gene_3223
muscle_cell,gene_1824
muscle_cell,gene_6140
muscle_cell,gene_430
cyst,gene_1781
cyst,gene_4798
epithelial,gene_1781
epithelial,gene_4798
cyst,gene_1781
cyst,gene_4798
epithelial,gene_1781
epithelial,gene_4798
cyst,gene_6882
cyst,gene_1781
cyst,gene_6882
cyst,gene_1781
muscle_cell,gene_6882
muscle_cell,gene_1781
accessory_gland,gene_3497
adult_fat_cell,gene_3497
hemocyte,gene_3497
muscle_cell,gene_8073
adult_fat_cell,gene_5821
cyst,gene_7620
cyst,gene_4973
cyst,g9773
accessory_gland,PB.2429
cyst,gene_423
cyst,gene_3904
cyst,gene_6597
muscle_cell,gene_10162
muscle_cell,gene_5503
muscle_cell,gene_5502
muscle_cell,gene_7684
muscle_cell,gene_3903
muscle_cell,gene_6362
spermatocyte,gene_6140
spermatocyte,gene_6140
epithelial,PB.362
muscle_cell,PB.9363
accessory_gland,PB.2876
hemocyte,PB.2876
epithelial,PB.2876
adult_fat_cell,PB.2876
adult_fat_cell,gene_10308
spermatocyte,gene_5119
spermatocyte,gene_9057
muscle_cell,gene_844
muscle_cell,gene_7675
muscle_cell,gene_9290
seminal_vesicle,g1702
epithelial,g1702
cyst,gene_4374
cyst,gene_10557
cyst,gene_1824
seminal_vesicle,gene_4374
seminal_vesicle,gene_10557
seminal_vesicle,gene_1824
epithelial,gene_4374
epithelial,gene_10557
epithelial,gene_1824
cyst,gene_4374
cyst,gene_10557
cyst,gene_1824
spermatocyte,g6979
spermatocyte,g6979
epithelial,gene_610
muscle_cell,gene_7832
